teff,ra_x,dec_x,parallax,pmra,pmdec,g_mag,b_mag,r_mag,br_col,L,B
5870.18,160.44717842477,23.46122639568,1.0172,-6.576,8.098,14.372022,14.693592,13.890667,0.321570000000001,212.791405710366,60.5477790183748
6729.58,0.86413640174,38.32994650876,2.4927,-0.709,6.61,11.456489,11.707171,11.061513,0.250682000000001,112.684763899609,-23.5852127749962
4591.47,185.81754340619,27.2720566812,1.3872,5.427,-12.078,15.641841,16.215403,14.931649,0.573561999999999,210.00722269052,83.7359715262643
6680.14,106.16294245927,19.50840372604,0.8838,-0.591,-0.515,13.11251,13.333901,12.737235,0.221390999999999,196.785474929356,11.572890044214
5396.03,140.1468326206,1.35047015463,2.0761,4.594,-2.978,13.673397,14.091352,13.109201,0.417955000000001,230.720052392674,33.3507567086411
4875.43,37.64668704864,44.62627806027,0.6421,1.012,8.387,12.42494,12.972809,11.74624,0.547869,140.904418103974,-14.7577987012736
6407.82,47.21192934728,38.66181415049,1.805,-0.35,-14.768,11.388169,11.70952,10.920481,0.321351,150.33443168325,-16.7903428777313
6349.09,121.27300442498,-6.51901818791,1.6191,-1.125,2.842,12.893715,13.146697,12.488467,0.252981999999999,227.452114491037,13.1520682014215
5235.37,21.49920457021,29.7558508712,1.7273,-6.492,-5.001,14.612248,15.106374,13.97226,0.494126000000001,131.829091190773,-32.5181552118898
4818.508,18.34650832943,6.36581776459,1.2063,3.207,-5.802,16.32731,16.846216,15.644065,0.518905999999998,132.738835381683,-56.0874470403872
4932.74,106.07564837722,13.25168224347,2.7323,-8.514,-45.823,13.900514,14.382977,13.278278,0.482463000000001,202.489483169331,8.80814839171372
6381.07,79.6447031238,16.7520173967,1.9831,-1.403,-2.287,12.87608,13.254542,12.331484,0.378462000000001,186.962815668857,-11.8001272050004
6351.68,25.77760990828,11.87846538448,1.6217,6.177,5.602,12.857725,13.12398,12.438647,0.266254999999999,142.422392595331,-49.0279378441676
5779.36,138.85276982803,11.75857858811,1.2013,19.12,-16.498,14.358768,14.715059,13.843599,0.356291000000001,218.76952769374,37.2278173104014
5391.83,173.91526584763,1.75108230456,1.0874,-12.671,-8.743,15.180317,15.55472,14.633883,0.374402999999999,264.152499100869,58.7953882330733
4933.24,104.02700900447,35.95942598569,0.443,-0.164,0.005,13.802073,14.324296,13.137136,0.522223,180.455458085313,16.4057472738669
5426.52,79.25356468376,27.34820007668,1.0455,4.954,-9.549,16.786732,17.598389,15.839307,0.811657,177.877985140746,-6.14697038143118
6424.73,320.77773441959,40.93662120045,1.2754,-0.548,-3.133,13.70128,14.079699,13.157905,0.378418999999999,86.0697521305098,-6.5689456400691
5638.7,350.95752265994,6.56348928762,0.8237,4.999,-6.853,15.332937,15.715797,14.775146,0.382860000000001,87.5619745142566,-50.1942168855654
6454.21,263.20627767569,51.88739363811,0.8853,-8.656,5.636,13.086276,13.336844,12.680346,0.250567999999999,79.1064705915431,32.9232129768618
6179.44,325.19829121724,1.14695743267,3.3335,9.379,-14.417,11.597131,11.899943,11.14432,0.302812000000001,56.6614408623003,-36.169173878035
5569.71,65.32963329816,23.49845538039,0.5182,-0.551,0.919,16.09312,16.629507,15.392311,0.536387000000001,172.962173709478,-18.3840933721806
5620.53,19.58739961246,40.86722721219,1.8705,-0.041,-6.162,13.446923,13.81243,12.92919,0.365507000000001,128.404262625306,-21.7183959890599
7803.93,157.49383157881,55.12376280374,0.2847,-4.979,-6.354,14.878843,14.977986,14.673684,0.0991429999999998,155.531330602945,52.0995740918333
6004.36,70.95955433864,32.62021786237,0.7993,2.587,-3.455,16.825974,17.79186,15.836907,0.965886000000001,169.257438047009,-8.6450105342892
5898.15,35.88554147805,17.4469040915,0.6742,4.303,-0.315,15.08002,15.504499,14.486077,0.424479,152.150068060478,-40.1420302539706
5194.03,60.06539534818,31.75771765055,0.4957,11.998,-14.21,12.406585,13.033357,11.655542,0.626772000000001,163.381998585881,-15.9087461186012
5095.6,98.75405403219,33.08486430389,0.271,0.48,-0.742,14.186572,14.756188,13.47069,0.569616,181.379440334318,11.2755398135885
4790.8,121.82968495796,-17.08646630087,1.2024,-6.594,5.127,10.116117,10.669374,9.451575,0.553257,236.96974259594,8.19658000300807
4719.84,63.83355050045,31.7625917306,0.4043,7.174,-6.958,13.43521,14.222097,12.574169,0.786887,165.759224952645,-13.6766897854585
5643.08,169.8456601118,9.04420835414,0.4441,-7.357,1.386,15.241199,15.614598,14.699386,0.373399000000001,248.350619339697,61.7207805049299
4604.7,215.66212235048,-32.43137391619,1.3957,-19.599,-11.84,10.077164,10.702132,9.355869,0.624968000000001,324.393057353831,26.6111535905693
4894.76,158.68826448303,28.25026894122,1.1319,3.713,-9.445,16.371103,16.884829,15.732729,0.513725999999998,202.742867833453,59.8215732240402
4347.87,59.64442172589,28.83353898021,1.3955,0.528,0.122,16.773413,17.591578,15.88445,0.818164999999997,165.187263269151,-18.2975424935049
6182.05,113.11995521585,11.57893995003,2.1059,-8.736,3.067,11.928512,12.199317,11.51108,0.270805000000001,207.064260789375,14.2897496080898
4950.65,342.07439061413,17.31831742441,1.4828,3.192,-11.847,15.225761,15.725093,14.56946,0.499331999999999,85.5242058627983,-36.4544486756223
5659.35,209.09943975227,8.91321690226,1.166,6.153,-12.724,12.973018,13.328126,12.470833,0.355108,346.093326946085,66.1783866486459
4707.74,172.9521154435,57.61269259557,5.532,45.858,-44.094,12.536762,13.075857,11.868802,0.539095,142.194655272465,56.437230295039
4838.3,163.98470369347,-17.57772227118,8.1744,-176.853,28.488,11.6241,12.116632,10.999963,0.492531999999999,267.600788558638,37.2465888841987
6353.57,121.97934186305,-2.29795264815,1.4737,3.33,-10.594,12.302352,12.559588,11.893923,0.257235999999999,224.014391125015,15.8425027638743
5913.7,216.06619151072,-24.42180090758,3.4401,-11.001,-21.345,9.946614,10.242979,9.516239,0.296365,328.511040029807,33.7978238016993
4466.31,269.77846810797,5.58679404353,0.241,-0.572,-8.701,14.231978,14.944432,13.425755,0.712454000000001,31.9823153879461,14.1738253334235
5826.83,190.48456766204,19.00228791285,1.0852,-20.646,-8.261,13.011042,13.333705,12.529961,0.322663,287.400622342278,81.5861260616459
4671.519,159.80675809078,43.66064112456,1.3699,3.596,1.706,15.983635,16.568052,15.264918,0.584417000000002,172.352678894304,58.7005099499014
